params,rank_by_CV_mean_test_rmse,CV_mean_train_rmse,CV_mean_test_rmse,mean_train_rmse,mean_test_rmse,Train Years,Validate Year,model
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",723,125187.96671123437,153202.35295910254,127678.30130594895,132307.57884759354,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 1.0}",724,130142.23229832253,153208.4544535435,131609.13937951787,133596.22092147547,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 1.0}",725,125249.41319626644,153216.84203328608,127808.93332148688,131604.51721385322,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",726,128225.77430381888,153232.8056775988,130960.19569878181,133729.0432908853,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 1.0}",727,130145.96781306254,153346.36803250076,131684.47550080327,133676.91102606466,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",728,127138.83122214989,153425.30036214893,129056.08364338933,132055.20674465943,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",729,130011.79991918907,153426.24415648638,131945.64488257677,133869.01155369775,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 1.0}",730,127034.90911483756,153427.52948958814,128807.73730859142,132570.27796966882,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 1.0}",731,129950.94267692712,153436.27993044644,132033.8170597104,133985.70043859695,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",732,131060.49222077192,153442.75436805031,132987.70959043634,133553.4130353199,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",732,131060.49222077194,153442.75436805031,132987.70959043634,133553.4130353199,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",734,131060.49222077194,153442.75436805034,132987.70959043634,133553.4130353199,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",734,131060.49222077192,153442.75436805034,132987.70959043634,133553.4130353199,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",734,131060.49222077192,153442.75436805034,132987.70959043634,133553.4130353199,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",734,131060.49222077192,153442.75436805034,132987.70959043634,133553.4130353199,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",734,131060.49222077194,153442.75436805034,132987.70959043634,133553.4130353199,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",734,131060.49222077194,153442.75436805034,132987.70959043634,133553.4130353199,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",734,131060.49222077194,153442.75436805034,132987.70959043634,133553.4130353199,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 1.0}",741,123571.6921519025,153446.34524319938,126368.7794428566,132175.4197971487,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 0.75}",742,133186.7661691085,153449.5221395311,135503.86150388385,132853.37060686862,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 1.0}",743,130119.47898222735,153485.85798922018,131369.40883029517,133366.33013168132,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",744,133246.19737388624,153495.01332693634,135399.79416675505,136754.60462357086,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",745,131866.89913104047,153500.65893109207,134539.68416575604,135700.99217193775,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 1.0}",746,126824.24160605302,153514.5882798385,129257.1984403197,132910.26444637685,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 1.0}",747,133700.51850085802,153535.0676510952,135745.90270138328,136319.29935297614,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 10, 'subsample': 0.75}",748,131686.14936163087,153569.799083658,134297.07032045833,129674.6677684062,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",749,130012.30102471133,153617.40270517435,131795.28576290508,133904.5786791378,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",750,134674.1164223637,153685.06553683447,134639.78160856225,135604.2429459453,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",751,133261.53328300282,153685.685286248,135156.40869674776,132342.90169319333,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 1.0}",752,128194.07041143278,153688.39361567737,130158.4840049738,132957.41696820708,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",753,133804.5827477908,153689.70982561374,135145.35084554984,136524.33933480378,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 1.0}",754,133353.8520928665,153716.13663288605,134753.57640046673,135461.86803519627,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 10, 'subsample': 0.75}",755,131695.46693347624,153717.48732452732,134079.6318557604,129641.61966872463,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 1.0}",756,134343.2274736878,153778.26633725836,135454.79956886134,136287.06574448108,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",757,134203.01399813895,153815.7248198561,135357.40508047797,136103.7935926365,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",758,133925.85195246874,153833.23382024182,135518.06602242723,136097.1387848668,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 0.75}",759,133278.41694515632,153886.646997665,136927.3531911832,134336.08122936892,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",760,124199.81215526637,153889.8350516576,126117.75571188184,131214.52050173472,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 1.0}",761,133615.5332167043,153898.3819146248,135228.33904744312,135696.6221512925,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",762,134290.36342679962,153903.6615331833,135080.48625651628,135864.84373429752,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",763,133547.07860424288,153927.64827892114,135565.8106759903,136384.20051094482,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",764,132416.63152852308,153940.69172410847,134361.67155836106,134414.82882720587,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",765,132416.63152852308,153940.6917241085,134361.67155836106,134414.8288272059,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",765,132416.63152852308,153940.6917241085,134361.67155836103,134414.82882720587,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",765,132416.63152852308,153940.6917241085,134361.67155836106,134414.82882720584,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",768,132416.63152852308,153940.6917241085,134361.67155836106,134414.82882720587,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",768,132416.63152852308,153940.6917241085,134361.67155836106,134414.82882720587,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",768,132416.63152852308,153940.6917241085,134361.67155836106,134414.82882720587,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",768,132416.6315285231,153940.6917241085,134361.67155836106,134414.82882720587,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",768,132416.63152852308,153940.6917241085,134361.67155836106,134414.82882720587,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 1.0}",773,133721.90977261311,153961.05858109085,135194.92252362787,136147.7492774818,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",774,132133.72655365695,153967.8049479746,134336.9287711338,136528.31364900694,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",775,133431.1556083695,154032.0094347873,134356.20435582259,135843.22696448167,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.5}",776,135379.57502582035,154061.95233301164,137370.4866785617,134014.52568527998,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 10, 'subsample': 0.5}",777,134463.0489525176,154075.15413303324,136215.98390111487,131908.44771540345,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 10, 'subsample': 0.75}",778,131901.20694424785,154076.9587569612,133258.4683680741,128637.05837217045,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",779,133949.8468515746,154120.14127602355,135273.38455048046,136467.33537065663,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 0.75}",780,132972.47439842197,154178.70813206138,139004.83061938774,136281.20801133954,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",781,133259.59241300714,154217.2408247303,133589.9340613684,135348.30772542141,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 1.0}",782,123674.64380513057,154226.12745365736,126694.65543203616,131841.28244444757,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 10, 'subsample': 0.5}",783,134047.28474020265,154296.93336142143,135175.43227567335,131439.8110791504,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 10, 'subsample': 0.5}",784,133408.72319222643,154303.05413607147,135886.05339234543,132058.33619691333,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",785,132662.0185680949,154399.83423329712,132468.96248291133,134757.00207269724,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",786,133724.98077883836,154503.88896069519,134440.04182256354,135453.47631194172,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 1.0}",787,133519.5979714506,154574.05687825676,135289.81538041172,135869.41866843356,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",788,135854.68033642718,154700.25976891626,137203.71892961278,137668.7284683355,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",789,136165.5736004336,154706.78346448333,137699.6883161944,138400.85880592844,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",790,135657.21512033057,154754.54155532105,136993.31182552522,137386.50279622755,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",791,133016.95265097107,154795.62482577207,135264.38546770654,136774.78672931582,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",792,132968.553168559,154807.35653568927,133674.3975777186,135289.19494926344,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",793,136021.53184086352,154812.7708292026,138355.76159573055,138677.33448039825,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 10, 'subsample': 0.5}",794,133097.64873030182,154913.16379231002,135321.79108571194,131146.713275285,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.5}",795,135330.02064668035,154929.623883501,138804.21269812473,135879.43920583115,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",796,132327.02124370146,154972.05306845016,134995.55996625926,136305.63533782391,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.5}",797,135626.1858455575,155211.95690000727,138224.55371355958,135428.56685815958,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.5}",798,132829.4874108358,155212.13681682557,134727.43145532376,132573.91572917346,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.5}",799,136254.6187910904,155240.6398417218,138899.82820471004,135735.45279412097,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.5}",800,136269.54084886733,155446.5854614845,137317.82326948323,134345.66289091407,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",801,134164.9381883354,155490.07839150963,136163.4151833693,136551.16797597357,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",802,132183.44265857403,155523.06442434632,134148.80524186286,136305.19925805827,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",803,137368.96192146206,155539.6808623813,139371.2946460664,139094.43414736068,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",804,137141.29579084265,155567.07680272465,135605.6354020467,136450.38278776337,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",805,134440.12178416856,155604.00201629064,136283.54705929302,137869.45449043528,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",806,134893.5558542887,155645.538287645,136604.55929388915,135923.23864708786,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",807,134893.5558542887,155645.538287645,136604.55929388915,135923.23864708786,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",807,134893.5558542887,155645.538287645,136604.55929388915,135923.23864708786,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",809,134893.5558542887,155645.53828764503,136604.55929388915,135923.23864708786,[2016],[2017],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",809,134893.5558542887,155645.53828764503,136604.55929388915,135923.23864708783,[2016],[2017],Boosting
